City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind speed
boke,0,GN,1544316320,91,10.95,-14.28,22.54,1.37
silifke,0,TR,1544316320,100,36.38,33.93,3.74,1.52
itaituba,44,BR,1544316321,96,-4.26,-55.99,24.29,1.27
ponta do sol,0,BR,1544316321,66,-20.63,-46,18.97,5.42
hasaki,75,JP,1544315400,52,35.73,140.83,7,6.2
hermanus,48,ZA,1544316249,100,-34.42,19.24,11.67,1.37
los arabos,100,CU,1544316322,82,22.73,-80.72,25.24,1.57
geraldton,40,CA,1544313600,72,49.72,-86.95,-8,7.2
tuktoyaktuk,90,CA,1544313600,92,69.44,-133.03,-14,10.3
abonnema,44,NG,1544316322,94,4.71,6.79,22.74,1.37
clyde river,1,CA,1544313600,68,70.47,-68.59,-28,2.1
avarua,90,CK,1544313600,79,-21.21,-159.78,29,4.6
omsukchan,64,RU,1544316323,44,62.53,155.8,-34.11,1.42
abay,0,KZ,1544315400,76,49.63,72.87,-22,3
nishihara,75,JP,1544315400,45,35.74,139.53,9,5.7
chuy,0,UY,1544316324,57,-33.69,-53.46,18.52,6.52
mahebourg,40,MU,1544313600,88,-20.41,57.7,25,4.6
hilo,20,US,1544313180,56,19.71,-155.08,26.7,5.1
shubarkuduk,8,KZ,1544316325,78,49.15,56.49,-9.89,1.67
hobart,75,AU,1544313600,63,-42.88,147.33,16,1
punta arenas,0,CL,1544313600,61,-53.16,-70.91,10,9.3
ancud,75,CL,1544313600,87,-41.87,-73.83,13,6.2
goldap,36,PL,1544316326,90,54.31,22.3,4.07,8.17
san borja,36,BO,1544316327,82,-14.86,-66.75,24.02,1.17
broome,64,GB,1544314800,81,52.47,1.45,9,8.7
te anau,80,NZ,1544316327,70,-45.41,167.72,17.54,4.32
yakeshi,0,CN,1544316328,44,49.28,120.73,-33.94,1.97
lorengau,76,PG,1544316249,99,-2.02,147.27,29.22,4.22
puerto ayora,0,EC,1544313600,57,-0.74,-90.35,25,6.7
yulara,32,AU,1544313600,20,-25.24,130.99,36,3.6
gradsko,40,BG,1544313600,85,42.77,26.12,0,2.1
ushuaia,75,AR,1544313600,61,-54.81,-68.31,9,9.8
nabire,92,ID,1544316329,95,-3.36,135.5,22.74,0.72
east london,92,ZA,1544316330,100,-33.02,27.91,19.39,4.67
cockburn town,56,TC,1544316216,100,21.46,-71.14,26.64,8.07
esperance,20,TT,1544313600,78,10.24,-61.45,26,1.5
yellowknife,20,CA,1544313600,92,62.45,-114.38,-12,4.1
shache,68,CN,1544316331,79,38.42,77.24,-11.44,1.02
bambous virieux,40,MU,1544313600,88,-20.34,57.76,25,4.6
kuching,75,MY,1544313600,88,1.56,110.34,26,1
marienburg,40,DE,1544314800,81,52.12,9.98,9,7.2
shahkot,0,IN,1544316332,83,31.08,75.34,7.29,1.27
faanui,32,PF,1544316332,100,-16.48,-151.75,26.07,6.17
butaritari,0,KI,1544316333,100,3.07,172.79,29.77,2.32
rocha,0,UY,1544316333,52,-34.48,-54.34,18.22,3.12
vila velha,40,BR,1544313600,78,-3.71,-38.6,28,3.6
half moon bay,1,US,1544313600,55,37.46,-122.43,18,3.6
riyadh,0,SA,1544313600,51,24.63,46.72,17,4.6
new norfolk,75,AU,1544313600,63,-42.78,147.06,16,1
inhambane,92,MZ,1544316334,91,-23.87,35.38,26.54,4.32
malpe,0,IN,1544315400,83,13.35,74.72,25,1.32
kalmunai,92,LK,1544316335,100,7.42,81.82,22.22,3.22
pevek,8,RU,1544316335,100,69.7,170.27,-21.44,4.42
cape town,0,ZA,1544313600,72,-33.93,18.42,16,3.1
keita,0,NG,1544316336,78,7.1,3.65,25.29,2.87
mahur,0,IN,1544316336,87,25.18,93.12,7.99,0.72
ribeira grande,64,PT,1544316336,99,38.52,-28.7,18.12,7.02
maceio,75,BR,1544313600,83,-9.67,-35.74,26,2.1
saskylakh,44,RU,1544316337,70,71.97,114.09,-23.36,1.57
carnarvon,0,ZA,1544316337,72,-30.97,22.13,10.64,5.72
guerrero negro,0,MX,1544316337,63,27.97,-114.04,20.97,3.82
namatanai,68,PG,1544316338,96,-3.66,152.44,29.67,1.97
penukonda,0,IN,1544316338,95,14.08,77.6,17.54,2.17
brownsville,40,US,1544315040,96,25.91,-97.49,13.3,3.1
dakar,0,SN,1544313600,83,14.69,-17.45,24,3.1
ayagoz,0,KZ,1544316339,69,47.96,80.43,-13.29,5.77
nuuk,20,GL,1544313000,79,64.17,-51.74,-7,4.6
ahipara,0,NZ,1544316340,64,-35.17,173.16,21.04,6.92
longyearbyen,75,NO,1544313000,68,78.22,15.63,-3,5.1
narsaq,36,GL,1544313000,68,60.91,-46.05,-1,5.1
jamestown,64,AU,1544316180,38,-33.21,138.6,30.32,2.07
cherskiy,48,RU,1544316342,75,68.75,161.3,-31.54,1.42
karpogory,80,RU,1544316342,75,64,44.44,-6.71,4.02
iqaluit,5,CA,1544313600,75,63.75,-68.52,-25,3.1
severo-kurilsk,48,RU,1544316343,100,50.68,156.12,-0.71,1.72
gat,32,SN,1544313600,46,14.69,-16.54,24,2.62
vila franca do campo,20,PT,1544313600,63,37.72,-25.43,18,4.6
camacha,75,PT,1544313600,93,33.08,-16.33,19,7.2
tungor,80,RU,1544316344,86,53.39,142.95,-6.44,5.82
bathsheba,20,BB,1544313600,69,13.22,-59.52,26,8.2
tura,0,IN,1544316345,85,25.52,90.21,11.17,1.07
thompson,90,CA,1544313600,85,55.74,-97.86,-11,3.1
nioro,0,GM,1544316345,52,13.79,-15.05,20.64,1.67
altay,0,CN,1544316345,36,47.83,88.13,-33.54,0.72
ozark,75,US,1544313300,55,37.02,-93.21,1,3.1
leningradskiy,36,RU,1544316347,95,69.38,178.42,-17.46,5.17
klaksvik,44,FO,1544314800,64,62.23,-6.59,3,7.2
kulhudhuffushi,8,MV,1544316347,100,6.62,73.07,28.62,1.57
sinnamary,56,GF,1544316347,92,5.38,-52.96,26.79,5.12
tsumeb,0,NA,1544316348,21,-19.25,17.72,20.12,4.92
cidreira,0,BR,1544316348,68,-30.17,-50.22,17.79,5.82
tasiilaq,20,GL,1544313000,52,65.61,-37.64,-7,1.5
pedernales,36,EC,1544316349,75,0.07,-80.05,24.14,3.42
hambantota,40,LK,1544314200,100,6.12,81.12,24,1
college,90,US,1544315820,87,64.86,-147.8,-6.1,1.42
ganzhou,92,CN,1544316350,100,25.86,114.93,1.39,2.07
bethel,90,US,1544315820,92,60.79,-161.76,-3.9,4.1
melfi,0,IT,1544316351,71,41,15.66,6.42,3.87
nichinan,75,JP,1544313600,52,31.65,131.31,7,3.6
kruisfontein,8,ZA,1544316351,91,-34,24.73,15.37,3.97
bluff,100,AU,1544316264,75,-23.58,149.07,21.89,6.57
pochutla,5,MX,1544312520,65,15.74,-96.47,29,2.52
port lincoln,64,AU,1544316352,88,-34.72,135.86,18.29,5.92
tommot,76,RU,1544316353,77,58.97,126.27,-28.09,2.07
camapua,0,BR,1544316353,37,-19.53,-54.04,25.92,3.92
manzhouli,0,CN,1544316353,35,49.6,117.43,-31.76,1.37
lebu,32,ET,1544313600,81,8.96,38.73,12,1
nigde,12,TR,1544316354,64,37.97,34.68,-11.54,0.77
georgetown,0,GY,1544313600,94,6.8,-58.16,24,2.1
marsh harbour,80,BS,1544316355,100,26.54,-77.06,24.07,6.52
berlevag,0,NO,1544316355,100,70.86,29.09,-14.04,2.12
hithadhoo,56,MV,1544316355,100,-0.6,73.08,28.52,4.12
anchorage,90,US,1544315640,95,61.22,-149.89,1.7,1.5
luebo,88,CD,1544316356,98,-5.35,21.42,21.14,0.97
maragogi,24,BR,1544316296,91,-9.01,-35.22,25.62,4.07
sigli,92,ID,1544316356,100,5.38,95.96,24.62,0.62
talara,8,PE,1544316356,65,-4.58,-81.27,22.87,3.82
sitka,0,US,1544316357,66,37.17,-99.65,-1.69,1.62
kalat,0,PK,1544316357,83,29.03,66.58,-2.49,1.32
ribeira brava,40,PT,1544313600,77,32.65,-17.07,19,6.7
morros,40,BR,1544313600,83,-2.87,-44.04,27,4.6
fuxin,0,CN,1544316358,50,42.02,121.65,-22.64,1.77
bileca,75,BA,1544313600,53,42.87,18.43,10,9.8
bredasdorp,80,ZA,1544313600,77,-34.53,20.04,15,1.5
la orilla,0,MX,1544316358,84,18,-102.23,27.32,1.97
pacific grove,1,US,1544314500,51,36.62,-121.92,17.8,1.5
cross lanes,64,GB,1544313000,71,50.05,-5.22,11,14.4
preobrazheniye,0,RU,1544316359,52,42.9,133.91,-17.84,3.02
constitucion,20,MX,1544312760,27,23.99,-104.67,18,4.6
tilichiki,8,RU,1544316360,45,60.47,166.1,-33.71,1.52
indian head,0,CA,1544316360,69,50.53,-103.67,-15.89,3.42
mehamn,8,NO,1544316361,100,71.03,27.85,-12.84,2.47
kalemie,48,CD,1544316361,100,-5.95,29.2,22.57,5.82
upernavik,56,GL,1544316361,100,72.79,-56.15,-12.89,4.62
taitung,75,TW,1544315400,73,22.76,121.15,22,5.7
vanimo,48,PG,1544316362,100,-2.67,141.3,27.74,5.52
vostok,32,RU,1544316362,63,46.45,135.83,-22.74,2.62
remedios,20,CU,1544313000,88,22.5,-79.55,24,3.1
thinadhoo,8,MV,1544316363,100,0.53,72.93,28.29,3.87
harper,90,US,1544314500,85,30.3,-99.24,5.6,5.7
bilopillya,92,UA,1544316364,95,51.15,34.31,-0.14,6.92
codrington,75,AU,1544313600,61,-28.95,153.24,27,2.6
kaeo,0,NZ,1544316364,36,-35.1,173.78,25.22,7.12
faya,0,SA,1544313600,87,18.39,42.45,13,2.1
paciran,32,ID,1544316365,97,-6.9,112.33,24.67,1.97
ulladulla,0,AU,1544316365,74,-35.36,150.48,24.29,2.22
manchester,75,US,1544313360,39,43,-71.45,-4.4,1.22
stephenville,90,US,1544315700,92,32.22,-98.2,2.8,5.1
torbay,90,CA,1544313600,100,47.66,-52.73,-2,7.2
seoul,1,KR,1544315400,51,37.57,126.98,-7,0.5
linares,92,CL,1544316367,69,-35.85,-71.6,13.79,1.67
ambon,90,FR,1544313600,81,47.55,-2.56,12,6.7
hualmay,80,PE,1544316367,85,-11.1,-77.61,18.79,2.72
hamilton,75,BM,1544313300,72,32.3,-64.78,18,4.1
tomatlan,0,MX,1544316368,70,19.93,-105.25,26.49,1.17
rundu,12,NA,1544316368,79,-17.91,19.77,18.27,1.02
berezovyy,48,RU,1544316368,56,51.67,135.7,-29.04,1.32
zhigansk,56,RU,1544316369,67,66.77,123.37,-37.39,2.12
znamenskoye,12,RU,1544316369,51,57.13,73.82,-19.61,3.72
mzimba,32,MW,1544316369,86,-11.9,33.6,18.67,1.17
mar del plata,8,AR,1544316273,29,-46.43,-67.52,26.42,7.07
eyl,44,SO,1544316370,100,7.98,49.82,24.29,5.92
khash,0,IR,1544316370,63,28.22,61.21,0.52,1.42
amos,75,CA,1544313600,91,48.57,-78.12,-13,1.5
chokurdakh,32,RU,1544316371,63,70.62,147.9,-36.64,1.37
kavieng,64,PG,1544316371,100,-2.57,150.8,28.77,2.82
bonnyville,5,CA,1544313600,57,54.27,-110.74,-6,1.5
pangnirtung,12,CA,1544316372,70,66.15,-65.72,-26.59,0.87
broken hill,0,AU,1544313600,17,-31.97,141.45,34,4.6
batagay-alyta,24,RU,1544316372,0,67.8,130.41,-36.79,0.72
beringovskiy,12,RU,1544316373,100,63.05,179.32,-17.74,9.22
grand-bourg,0,GP,1544315400,83,15.88,-61.31,26,2.6
tanabe,75,JP,1544313600,52,33.73,135.39,7,8.7
guiratinga,12,BR,1544316374,82,-16.35,-53.76,23.29,1.67
san policarpo,24,PH,1544316374,99,12.18,125.51,26.54,5.22
pisco,75,PE,1544313600,82,-13.71,-76.2,20,7.7
vao,92,EE,1544316375,95,59.1,26.19,3.24,5.02
sangar,44,RU,1544316375,89,63.92,127.47,-40.29,1.42
les cayes,0,HT,1544316376,100,18.19,-73.75,26.87,5.27
wanning,75,AT,1544314800,99,48.64,13.53,8,4.1
entebbe,68,UG,1544316376,100,0.06,32.45,21.74,3.52
pascagoula,90,US,1544315520,90,30.37,-88.56,20,2.6
srednekolymsk,48,RU,1544316378,65,67.46,153.71,-37.09,1.32
chara,90,GR,1544313000,93,39.42,22.43,8,1.57
dauphin,1,CA,1544313600,78,51.15,-100.04,-10,4.6
gra liyia,40,GR,1544313000,87,35.02,25.68,12,5.1
hun,40,BE,1544314800,81,50.34,4.87,10,7.7
porto walter,64,BR,1544316379,98,-8.27,-72.74,22.29,0.97
nanzhou,75,TW,1544315400,78,22.49,120.51,22,3.6
saint-pierre,88,FR,1544313600,87,48.95,4.24,10,13.4
atagay,24,RU,1544316380,52,55.1,99.39,-27.94,1.27
paysandu,44,UY,1544316380,37,-32.32,-58.08,22.14,4.32
touros,80,BR,1544316381,90,-5.2,-35.46,26.52,2.82
chulym,32,RU,1544316381,65,55.09,80.97,-17.61,1.32
ranong,75,TH,1544313600,78,9.96,98.62,27,2.1
doha,0,QA,1544315400,56,25.29,51.53,21,1.5
maebaru,75,JP,1544315400,52,33.55,130.2,5,5.1
kahului,40,US,1544315280,73,20.89,-156.47,27.8,16.5
igarka,88,RU,1544316275,80,67.47,86.57,-18.39,9.42
mumford,32,GH,1544316383,92,5.26,-0.76,25.99,2.82
nagato,75,JP,1544313600,60,34.35,131.14,5,2.1
gawler,0,AU,1544315400,60,-34.6,138.75,23,3.1
nanortalik,48,GL,1544313000,68,60.14,-45.24,-1,5.1
tuatapere,80,NZ,1544316385,87,-46.13,167.69,16.49,4.67
sao joao da barra,76,BR,1544316385,100,-21.64,-41.05,23.02,6.47
buala,64,SB,1544316385,83,-8.15,159.59,30.14,0.27
bulls,0,NZ,1544316385,79,-40.17,175.39,19.74,6.27
mount gambier,75,AU,1544313600,68,-37.83,140.78,19,5.7
tazovskiy,88,RU,1544316386,90,67.47,78.7,-8.96,4.57
westport,92,IE,1544316336,99,53.8,-9.52,8.54,9.37
khandbari,44,NP,1544316387,78,27.38,87.21,-2.74,0.17
grand-lahou,8,CI,1544316387,89,5.24,-5,25.54,2.37
tambun,75,MY,1544313600,100,4.62,101.14,24,0.5
belyy yar,40,RU,1544315400,76,53.6,91.39,-21,1.42
exeter,92,GB,1544313000,81,50.73,-3.53,9,6.7
fort nelson,75,CA,1544313600,84,58.81,-122.69,-14,1
hangu,40,PK,1544315400,76,33.53,71.06,11,2.1
ko samui,75,TH,1544313600,100,9.54,99.94,24,5.1
qandala,0,SO,1544316389,100,11.47,49.87,15.04,0.97
bhatkal,8,IN,1544316390,100,13.97,74.57,27.57,3.92
coquimbo,0,CL,1544313600,77,-29.95,-71.34,17,4.1
luderitz,0,NA,1544316390,78,-26.65,15.16,14.64,9.17
ugoofaaru,88,MV,1544316391,100,5.67,73,28.22,4.77
isla mujeres,40,MX,1544312760,78,21.23,-86.73,27,3.6
ios,20,GR,1544314800,71,36.73,25.28,16,4.1
kyshtovka,0,RU,1544316391,59,56.56,76.62,-21.21,2.32
fukue,75,JP,1544315400,70,35.03,136.69,7,6.7
ekhabi,80,RU,1544316392,86,53.51,142.97,-6.44,5.82
tautira,75,PF,1544315400,66,-17.73,-149.15,31,6.7
labuhan,68,ID,1544316392,94,-2.54,115.51,24.12,0.42
maryville,1,US,1544315700,85,40.35,-94.87,-1.7,1.5
paamiut,24,GL,1544316393,100,61.99,-49.67,-2.24,7.37
kant,40,KG,1544315400,68,42.89,74.85,0,1
strezhevoy,0,RU,1544315400,84,60.73,77.6,-15,2
durazno,0,UY,1544316126,47,-33.38,-56.52,18.97,4.77
berga,0,ES,1544313600,87,42.1,1.85,7,3.6
bowen,90,AU,1544313600,100,-20.01,148.25,23,8.2
cabo san lucas,20,MX,1544312460,53,22.89,-109.91,24,3.1
filadelfia,0,PY,1544316395,43,-22.35,-60.04,27.62,3.07
kargopol,76,RU,1544316395,84,61.51,38.95,-6.21,7.52
innisfail,20,CA,1544313600,78,52.02,-113.95,-12,2.1
souillac,75,FR,1544313600,87,45.6,-0.6,13,6.7
lashio,88,MM,1544316396,98,22.93,97.75,14.27,0.77
jawhar,0,IN,1544316396,83,19.91,73.23,13.39,1.12
dalbandin,0,PK,1544316397,85,28.9,64.41,8.47,1.42
quatre cocos,40,MU,1544313600,88,-20.21,57.76,25,4.6
bonthe,0,SL,1544316397,76,7.53,-12.5,26.97,2.32
panguna,48,PG,1544316397,78,-6.32,155.48,29.24,0.72
roma,0,IT,1544311200,75,41.89,12.48,8,2.1
songea,8,TZ,1544316177,91,-10.68,35.65,18.64,2.12
ostrovnoy,76,RU,1544316398,95,68.05,39.51,-4.69,4.97
egvekinot,24,RU,1544316398,67,66.32,-179.17,-18.86,4.62
alofi,92,NU,1544313600,78,-19.06,-169.92,27,5.1
provideniya,24,RU,1544316399,100,64.42,-173.23,-6.71,8.37
lahat,56,ID,1544316399,97,-3.78,103.55,23.49,1.82
hami,8,CN,1544316400,45,42.84,93.51,-22.26,0.57
linxia,0,CN,1544316400,52,35.6,103.21,-18.89,0.87
praia da vitoria,0,PT,1544313600,87,38.73,-27.07,16,6.62
ust-tsilma,64,RU,1544316401,82,65.44,52.15,-8.59,3.12
ridgecrest,1,US,1544313360,45,35.62,-117.67,15.6,1.5
samarai,20,PG,1544316401,97,-10.62,150.67,29.49,5.52
ipixuna,20,BR,1544313600,88,-1.76,-48.8,26,1.5
saint george,90,GR,1544313000,93,39.45,22.34,8,1.57
arraial do cabo,56,BR,1544316402,94,-22.97,-42.02,21.87,3.82
flinders,0,AU,1544316135,53,-34.58,150.85,28.37,1.47
marsa matruh,92,EG,1544316402,96,31.35,27.25,11.74,3.62
honningsvag,0,NO,1544316402,100,70.98,25.97,-7.34,3.27
yar-sale,80,RU,1544316403,88,66.83,70.83,-9.39,2.57
ercis,75,TR,1544313000,86,39.03,43.36,3,2.1
soyo,92,AO,1544316117,99,-6.13,12.37,23.07,1.17
belmonte,0,PT,1544316118,77,40.36,-7.35,1.64,2.02
barahona,0,DO,1544316404,96,18.21,-71.1,27.72,8.82
vardo,1,US,1544314800,57,39.62,-77.74,0,1.72
waipawa,8,NZ,1544316405,54,-39.94,176.59,23.79,1.87
sur,0,OM,1544316405,100,22.57,59.53,23.79,2.27
husavik,0,CA,1544316406,72,50.56,-96.99,-15.84,4.02
emerald,75,AU,1544313600,45,-23.53,148.16,29,5.7
booue,92,GA,1544316407,100,-0.09,11.94,20.99,1.22
north bend,90,US,1544313360,83,43.41,-124.22,12.8,2.87
high level,0,CA,1544316407,86,58.52,-117.13,-11.46,1.87
grimshaw,75,CA,1544313600,72,56.19,-117.61,-11,1
lake havasu city,1,US,1544315700,55,34.47,-114.34,19.4,2.1
inta,68,RU,1544316408,80,66.04,60.13,-6.74,2.27
otjiwarongo,0,NA,1544316408,50,-20.46,16.65,12.24,3.67
freeport,75,BS,1544313600,69,26.54,-78.7,24,2.6
baherden,92,TM,1544316409,98,38.44,57.43,6.14,1.07
chernyshevskiy,64,RU,1544316409,83,63.01,112.47,-28.49,1.67
mackenzie,90,CA,1544313600,73,55.34,-123.09,-5,2.1
laukaa,90,FI,1544313000,90,62.42,25.95,0,4.6
carballo,90,ES,1544313600,87,43.21,-8.69,13,4.6
barranca de upia,0,CO,1544316411,63,4.57,-72.97,21.02,0.72
mildura,20,AU,1544313600,39,-34.18,142.16,29,4.1
ayan,32,TR,1544316412,71,40.67,33.6,-9.54,0.77
ocumare del tuy,75,VE,1544313600,78,10.11,-66.78,26,2.1
byron bay,40,AU,1544315400,57,-28.65,153.62,27,5.1
lukovetskiy,75,RU,1544315400,85,64.29,41.92,-6,7
mayor pablo lagerenza,0,PY,1544316413,59,-19.93,-60.77,25.89,3.17
mahuva,0,IN,1544316414,100,21.09,71.76,23.87,6.12
amontada,24,BR,1544316414,95,-3.36,-39.83,22.79,1.77
la ronge,40,CA,1544313600,85,55.1,-105.3,-8,2.6
kohat,40,PK,1544315400,76,33.6,71.44,11,2.1
henties bay,0,NA,1544316415,100,-22.12,14.28,14.72,3.17
termoli,0,IT,1544316415,79,42,14.99,11.99,7.37
norman wells,75,CA,1544313600,85,65.28,-126.83,-12,1.5
metkovic,0,HR,1544316415,100,43.05,17.65,2.27,1.62
saint-augustin,90,FR,1544313600,87,44.83,-0.61,14,8.7
fare,44,PF,1544316416,100,-16.7,-151.02,26.24,6.72
jieshi,92,CN,1544316416,100,22.82,115.83,14.97,5.57
diamantino,48,BR,1544316416,86,-14.4,-56.44,24.39,1.37
alice springs,0,AU,1544315400,13,-23.7,133.88,36,4.6
deniliquin,92,AU,1544316417,43,-35.53,144.96,28.49,5.02
bariri,0,BR,1544316417,49,-22.07,-48.74,21.02,7.52
talcahuano,75,CL,1544313600,93,-36.72,-73.12,16,2.6
dicabisagan,92,PH,1544316418,100,17.08,122.42,23.47,3.02
shelburne,90,CA,1544313600,73,44.08,-80.2,-3,3.6
tumaco,68,CO,1544316419,90,1.8,-78.82,25.64,2.32
kaitangata,56,NZ,1544316419,65,-46.28,169.85,20.37,8.17
teya,20,MX,1544312580,69,21.05,-89.07,28,4.1
kaliua,88,TZ,1544316420,95,-5.06,31.79,19.07,1.32
rockland,1,US,1544315700,48,42.13,-70.92,-1.7,1.5
iguape,88,BR,1544316421,100,-24.7,-47.56,20.87,3.72
bafoulabe,0,ML,1544316350,41,13.81,-10.83,18.87,3.47
puerto carreno,56,CO,1544316421,91,6.19,-67.49,21.49,1.87
ixtapa,5,MX,1544312700,74,20.71,-105.21,28,2.1
porto de moz,56,BR,1544316422,89,-1.75,-52.24,24.82,1.47
waverley,0,AU,1544315400,57,-33.9,151.26,27,6.7
quelimane,24,MZ,1544316423,75,-17.88,36.89,28.17,4.22
marfino,90,RU,1544315400,85,56.07,37.56,-4,4
sawakin,0,SD,1544316423,100,19.1,37.33,17.52,3.22
jalu,0,LY,1544316424,80,29.03,21.55,7.02,1.32
karasjok,76,NO,1544314800,84,69.47,25.52,-13,0.87
sobolevo,92,RU,1544316424,95,54.43,31.9,-1.84,5.37
ilulissat,0,GL,1544313000,66,69.22,-51.1,-12,4.6
santo antonio do ica,48,BR,1544316425,96,-3.1,-67.94,24.39,0.87
liverpool,90,GB,1544314800,76,53.41,-2.98,9,9.3
tay ninh,0,VN,1544316425,91,11.3,106.1,23.82,1.42
luena,24,AO,1544316425,93,-11.78,19.91,19.37,2.82
bandarbeyla,92,SO,1544316426,100,9.49,50.81,25.72,6.17
palmer,0,AU,1544315400,60,-34.85,139.16,23,3.1
posevnaya,80,RU,1544316427,75,54.3,83.33,-17.71,1.62
kandrian,32,PG,1544316427,72,-6.21,149.55,30.47,2.62
caravelas,92,BR,1544316427,100,-17.73,-39.27,23.82,9.77
nara,75,JP,1544313600,60,34.68,135.8,6,2.6
burnie,88,AU,1544316428,97,-41.05,145.91,15.99,5.77
eresos,0,GR,1544316428,100,39.17,25.93,15.47,8.72
muroto,75,JP,1544313600,38,33.37,134.14,6,2.6
menzelinsk,40,RU,1544315400,86,55.73,53.11,-3,2.67
adeje,12,NG,1544316429,88,5.68,5.76,24.37,2.07
aklavik,75,CA,1544313600,77,68.22,-135.01,-15,5.1
charlestown,1,US,1544315700,53,41.38,-71.64,0,2.6
byumba,40,RW,1544315400,93,-1.58,30.06,16,1.5
namibe,64,AO,1544316430,100,-15.19,12.15,21.22,1.97
dingle,44,PH,1544316430,86,11,122.67,25.99,5.22
avon,40,US,1544315100,59,41.45,-82.04,-3.3,1.5
takaka,0,NZ,1544316431,47,-40.86,172.81,23.67,2.07
salinopolis,76,BR,1544316432,98,-0.61,-47.36,27.22,4.67
guiberoua,8,CI,1544316432,92,6.24,-6.17,23.22,2.22
launceston,40,AU,1544313600,64,-41.43,147.14,20,5.1
nansio,100,TZ,1544316433,100,-2.11,33.09,20.29,1.62
sambava,68,MG,1544316433,100,-14.27,50.17,25.24,5.57
goderich,48,CA,1544316434,92,43.74,-81.71,-1.04,5.82
barcelona,0,ES,1544313600,87,41.38,2.18,8,3.1
wanganui,0,NZ,1544316434,79,-39.93,175.05,19.74,6.27
kendari,20,ID,1544316435,98,-3.99,122.52,26.67,1.52
arlit,0,NE,1544316435,52,18.74,7.39,12.72,3.57
kisangani,68,CD,1544316436,97,0.52,25.21,22.87,1.62
laguna,5,MX,1544312400,36,27.52,-110.01,25,4.1
ozernovskiy,88,RU,1544316437,100,51.5,156.52,-4.29,1.32
estevan,1,CA,1544314500,92,49.14,-102.99,-14,4.6
pitimbu,40,BR,1544313600,83,-7.47,-34.81,27,2.6
waingapu,0,ID,1544316437,91,-9.65,120.26,27.07,1.97
homer,75,US,1544313180,74,59.64,-151.54,0,5.7
axim,0,GH,1544316438,100,4.87,-2.24,27.97,4.22
san patricio,0,PY,1544316250,74,-26.98,-56.83,17.97,1.47
jacareacanga,20,BR,1544316438,94,-6.22,-57.76,24.54,0.82
pangoa,48,PE,1544316439,96,-12.12,-73,19.52,0.67
skoghall,92,SE,1544314800,100,59.32,13.47,1,1.5
betong,56,MY,1544316440,96,5.77,101.07,22.67,1.17
tanete,8,ID,1544316440,91,-3.94,119.78,27.67,1.97
the valley,20,AI,1544313600,74,18.22,-63.06,26,6.2
high rock,75,BS,1544313600,69,26.63,-78.28,24,2.6
bilma,0,NE,1544316441,52,18.69,12.92,9.37,4.37
moses lake,90,US,1544313180,74,47.13,-119.28,-1.7,1.47
